# REPORTE DE MEDICIÓN ESTRUCTURAL - GeoStXR
# Fecha: 01/01/2025, 12:00:00
# Sondaje: DH-R02-C01
# Azimut Sondaje: 90°
# Inclinacion Sondaje: -70°
# UTM Este Collar: 350025.00
# UTM Norte Collar: 6499875.00
# Elevacion Collar: 2000.00
# Profundidad Total: 30000.00 cm (300.00 m)
# Total de Planos: 10

Plano,Profundidad_cm,Profundidad_m,Tipo,Alpha_grados,Beta_grados,Azimuth_grados,BOH_Referencia,P1_X,P1_Y,P1_Z,P2_X,P2_Y,P2_Z,P3_X,P3_Y,P3_Z,Dip_Real_grados,Dip_Direction_grados,UTM_Este_m,UTM_Norte_m,Elevacion_m
1,1000.00,10.00,Fractura,78.45,81.67,81.67,BOH2,1.9012,0.4567,999.5432,-1.0123,2.0123,999.6543,-0.6789,-2.1234,999.4321,78.45,81.67,350025.00,6499875.00,1990.00
2,2000.00,20.00,Contacto,79.67,83.34,83.34,BOH1,2.0123,0.5678,1999.4321,-1.1234,2.1234,1999.5432,-0.7890,-2.2345,1999.3210,79.67,83.34,350025.00,6499875.00,1980.00
3,3000.00,30.00,Fractura,80.23,82.56,82.56,BOH2,2.1234,0.6789,2999.3210,-1.2345,2.2345,2999.4321,-0.8901,-2.3456,2999.1098,80.23,82.56,350025.00,6499875.00,1970.00
4,4000.00,40.00,Veta,81.56,84.45,84.45,BOH1,2.2345,0.7890,3999.1098,-1.3456,2.3456,3999.3210,-0.9012,-2.4567,3998.9876,81.56,84.45,350025.00,6499875.00,1960.00
5,5000.00,50.00,Fractura,80.12,83.23,83.23,BOH2,2.3456,0.8901,4998.9876,-1.4567,2.4567,4999.1098,-0.0123,-2.5678,4998.7654,80.12,83.23,350025.00,6499875.00,1950.00
6,10000.00,100.00,Fractura,80.45,84.67,84.67,BOH1,2.4567,0.9012,9998.7654,-1.5678,2.5678,9998.9876,-0.1234,-2.6789,9998.5432,80.45,84.67,350025.00,6499875.00,1900.00
7,15000.00,150.00,Contacto,78.23,85.34,85.34,BOH2,2.5678,0.0123,14998.5432,-1.6789,2.6789,14998.7654,-0.2345,-2.7890,14998.3210,78.23,85.34,350025.00,6499875.00,1850.00
8,20000.00,200.00,Estratificacion,45.67,90.00,90.00,BOH1,1.5000,0.0000,19999.9876,-1.5000,0.0000,20000.0124,0.0000,-2.0000,20000.0000,45.67,90.00,350025.00,6499875.00,1800.00
9,25000.00,250.00,Fractura,81.34,86.12,86.12,BOH2,2.6789,0.1234,24998.3210,-1.7890,2.7890,24998.5432,-0.3456,-2.8901,24997.9876,81.34,86.12,350025.00,6499875.00,1750.00
10,30000.00,300.00,Veta,80.67,82.89,82.89,BOH1,2.7890,0.2345,29997.9876,-1.8901,2.8901,29998.3210,-0.4567,-3.0012,29997.7654,80.67,82.89,350025.00,6499875.00,1700.00

# RESUMEN ESTADÍSTICO
# Alpha promedio: 80.68° (min: 78.45°, max: 81.56°)
# Beta promedio: 84.21° (min: 81.67°, max: 86.12°)
# Distribución por tipo:
# Fractura: 6
# Contacto: 2
# Veta: 2
# Estratificación: 1
