# REPORTE DE MEDICIÓN ESTRUCTURAL - GeoStXR
# Fecha: 01/01/2025, 12:00:00
# Sondaje: DH-R01-C04
# Azimut Sondaje: 90°
# Inclinacion Sondaje: -70°
# UTM Este Collar: 350129.90
# UTM Norte Collar: 6500075.00
# Elevacion Collar: 2000.00
# Profundidad Total: 30000.00 cm (300.00 m)
# Total de Planos: 10

Plano,Profundidad_cm,Profundidad_m,Tipo,Alpha_grados,Beta_grados,Azimuth_grados,BOH_Referencia,P1_X,P1_Y,P1_Z,P2_X,P2_Y,P2_Z,P3_X,P3_Y,P3_Z,Dip_Real_grados,Dip_Direction_grados,UTM_Este_m,UTM_Norte_m,Elevacion_m
1,1000.00,10.00,Fractura,79.67,82.89,82.89,BOH2,2.0123,0.3456,999.6543,-1.1234,2.1234,999.7654,-0.7890,-2.2345,999.5432,79.67,82.89,350129.90,6500075.00,1990.00
2,2000.00,20.00,Contacto,80.89,84.56,84.56,BOH1,2.1234,0.4567,1999.5432,-1.2345,2.2345,1999.6543,-0.8901,-2.3456,1999.4321,80.89,84.56,350129.90,6500075.00,1980.00
3,3000.00,30.00,Fractura,81.45,83.78,83.78,BOH2,2.2345,0.5678,2999.4321,-1.3456,2.3456,2999.5432,-0.9012,-2.4567,2999.3210,81.45,83.78,350129.90,6500075.00,1970.00
4,4000.00,40.00,Veta,82.78,85.67,85.67,BOH1,2.3456,0.6789,3999.3210,-1.4567,2.4567,3999.4321,-0.0123,-2.5678,3999.1098,82.78,85.67,350129.90,6500075.00,1960.00
5,5000.00,50.00,Fractura,81.23,84.45,84.45,BOH2,2.4567,0.7890,4999.1098,-1.5678,2.5678,4999.3210,-0.1234,-2.6789,4998.9876,81.23,84.45,350129.90,6500075.00,1950.00
6,10000.00,100.00,Fractura,81.67,85.89,85.89,BOH1,2.5678,0.8901,9998.9876,-1.6789,2.6789,9999.1098,-0.2345,-2.7890,9998.7654,81.67,85.89,350129.90,6500075.00,1900.00
7,15000.00,150.00,Contacto,79.34,86.23,86.23,BOH2,2.6789,0.9012,14998.7654,-1.7890,2.7890,14998.9876,-0.3456,-2.8901,14998.5432,79.34,86.23,350129.90,6500075.00,1850.00
8,20000.00,200.00,Estratificacion,45.67,90.00,90.00,BOH1,1.5000,0.0000,19999.9876,-1.5000,0.0000,20000.0124,0.0000,-2.0000,20000.0000,45.67,90.00,350129.90,6500075.00,1800.00
9,25000.00,250.00,Fractura,82.56,87.34,87.34,BOH2,2.7890,0.0123,24998.5432,-1.8901,2.8901,24998.7654,-0.4567,-3.0012,24998.3210,82.56,87.34,350129.90,6500075.00,1750.00
10,30000.00,300.00,Veta,81.89,84.12,84.12,BOH1,2.8901,0.1234,29998.3210,-1.9012,2.9012,29998.5432,-0.5678,-3.1123,29998.1098,81.89,84.12,350129.90,6500075.00,1700.00

# RESUMEN ESTADÍSTICO
# Alpha promedio: 81.67° (min: 79.67°, max: 82.78°)
# Beta promedio: 85.63° (min: 82.89°, max: 87.34°)
# Distribución por tipo:
# Fractura: 6
# Contacto: 2
# Veta: 2
# Estratificación: 1
